part,event,ID,mother,daughter1,daughter2,Px,Py,Pz,E,X,Y,Z,T,i1,i2,i3
1069,8,-211,5,31,34,0.1687,0.0133,-0.1953,0.2937,0.5878,0.0531,3.3822,1.4182,55,0,41
1070,9,111,5,12,13,0.087,0.0513,-0.0874,0.1899,0.5878,0.0531,3.3822,1.4182,55,0,41
1071,10,111,5,14,15,0.1363,-0.063,0.2096,0.2911,0.5878,0.0531,3.3822,1.4182,55,0,41
1072,11,111,5,16,17,0.3522,-0.5419,0.2097,0.6927,0.5878,0.0531,3.3822,1.4182,55,0,41
1073,12,22,9,-1,-1,0.0502,0.006,0.03,0.0588,0.5878,0.0531,3.3822,1.4182,55,0,41
1074,13,22,9,-1,-1,0.0368,0.0454,-0.1174,0.1311,0.5878,0.0531,3.3822,1.4182,55,0,41
1075,14,22,10,35,35,0.0621,0.0325,0.0343,0.078,0.5878,0.0531,3.3822,1.4182,55,0,41
1076,15,22,10,-1,-1,0.0742,-0.0956,0.1754,0.2131,0.5878,0.0531,3.3822,1.4182,55,0,41
1077,16,22,11,-1,-1,0.0519,-0.0897,-0.016,0.1048,0.5878,0.0531,3.3822,1.4182,55,0,41
1078,17,22,11,36,36,0.3004,-0.4522,0.2257,0.5879,0.5878,0.0531,3.3822,1.4182,55,0,41
1079,18,211,4,37,39,-0.7848,1.8479,1.1065,2.2966,0.5478,0.104,3.3613,1.3268,55,0,41
1080,19,111,4,20,21,-0.1836,0.1264,0.3177,0.4109,0.5478,0.104,3.3613,1.3268,55,0,41
1081,20,22,19,-1,-1,-0.0844,0.0693,0.0507,0.1204,0.5478,0.104,3.3613,1.3268,55,0,41
1082,21,22,19,-1,-1,-0.0993,0.0571,0.267,0.2906,0.5478,0.104,3.3613,1.3268,55,0,41
1083,22,333,2,24,25,-0.8294,0.6351,-1.2445,1.9175,0.4947,0.0502,3.1843,0.8794,55,0,41
1084,23,-10321,2,26,27,0.6905,-0.8987,3.4739,3.8208,0.4947,0.0502,3.1843,0.8794,55,0,41
1085,24,321,22,40,41,-0.3375,0.3789,-0.5049,0.8695,0.4947,0.0502,3.1843,0.8794,55,0,41
1086,25,-321,22,42,43,-0.4919,0.2562,-0.7396,1.048,0.4947,0.0502,3.1843,0.8794,55,0,41
1087,26,310,23,44,45,0.429,-0.8106,3.3104,3.4709,0.4947,0.0502,3.1843,0.8794,55,0,41
1088,27,-211,23,46,46,0.2615,-0.0881,0.1635,0.3499,0.4947,0.0502,3.1843,0.8794,55,0,41
1089,0,300553,-1,1,2,0.1761,0,4.5026,11.5048,0.4141,0.0796,0.0488,0.0166,55,0,42
1090,1,521,0,3,6,0.0371,-0.3063,2.0113,5.6577,0.4141,0.0796,0.0488,0.0166,55,0,42
1091,2,-521,0,16,17,0.139,0.3063,2.4913,5.8471,0.4141,0.0796,0.0488,0.0166,55,0,42
1092,3,-423,1,7,8,-0.6338,-0.1517,2.0301,2.9282,0.4153,0.0697,0.1138,0.1996,55,0,42
1093,4,-3222,1,22,23,0.2404,0.2224,0.168,1.245,0.4153,0.0697,0.1138,0.1996,55,0,42
1094,5,211,1,24,30,0.1711,-0.0925,0.0051,0.2394,0.4153,0.0697,0.1138,0.1996,55,0,42
1095,6,2214,1,12,13,0.2594,-0.2845,-0.1919,1.2451,0.4153,0.0697,0.1138,0.1996,55,0,42
1096,7,-421,3,9,11,-0.4716,-0.0625,1.8348,2.6591,0.4153,0.0697,0.1138,0.1996,55,0,42
1097,8,22,3,-1,-1,-0.1622,-0.0892,0.1953,0.2691,0.4153,0.0697,0.1138,0.1996,55,0,42
1098,9,211,7,31,31,0.3392,0.0807,-0.1323,0.3982,0.3998,0.0676,0.1741,0.2869,55,0,42
1099,10,11,7,32,34,-0.3178,-0.421,1.1687,1.2822,0.3998,0.0676,0.1741,0.2869,55,0,42
1100,11,-12,7,-1,-1,-0.493,0.2778,0.7984,0.9786,0.3998,0.0676,0.1741,0.2869,55,0,42
1101,12,2212,6,-1,-1,0.0439,-0.2033,-0.1806,0.9779,0.4153,0.0697,0.1138,0.1996,55,0,42
1102,13,111,6,14,15,0.2155,-0.0812,-0.0114,0.2672,0.4153,0.0697,0.1138,0.1996,55,0,42
1103,14,22,13,-1,-1,-0.0136,-0.0161,0.0173,0.0273,0.4153,0.0697,0.1138,0.1996,55,0,42
1104,15,22,13,35,36,0.2291,-0.0651,-0.0287,0.2399,0.4153,0.0697,0.1138,0.1996,55,0,42
