part,event,ID,mother,daughter1,daughter2,Px,Py,Pz,E,X,Y,Z,T,i1,i2,i3
1,0,300553,-1,1,2,0.176,0,4.4988,11.5028,0.3619,0.0787,-1.3131,-0.2107,55,0,1
2,1,521,0,3,4,0.4054,-0.1093,2.4376,5.8299,0.3619,0.0787,-1.3131,-0.2107,55,0,1
3,2,-521,0,9,12,-0.2294,0.1093,2.0612,5.6729,0.3619,0.0787,-1.3131,-0.2107,55,0,1
4,3,333,1,5,6,2.0084,-1.4483,1.7238,3.1843,0.406,0.0668,-1.0481,0.4233,55,0,1
5,4,10321,1,7,8,-1.603,1.339,0.7138,2.6456,0.406,0.0668,-1.0481,0.4233,55,0,1
6,5,321,3,32,34,1.2486,-0.9178,1.0902,1.958,0.406,0.0668,-1.0481,0.4233,55,0,1
7,6,-321,3,35,37,0.7598,-0.5305,0.6336,1.2263,0.406,0.0668,-1.0481,0.4233,55,0,1
8,7,310,4,38,39,-1.6694,0.7277,0.3581,1.9216,0.406,0.0668,-1.0481,0.4233,55,0,1
9,8,211,4,40,43,0.0664,0.6113,0.3558,0.724,0.406,0.0668,-1.0481,0.4233,55,0,1
10,9,421,2,13,16,0.0409,-0.1006,1.3949,2.3313,0.3306,0.0936,-1.0315,0.5644,55,0,1
11,10,-411,2,19,22,-0.3119,0.3371,0.3935,1.965,0.3306,0.0936,-1.0315,0.5644,55,0,1
12,11,-311,2,29,29,-0.0436,-0.278,0.2599,0.628,0.3306,0.0936,-1.0315,0.5644,55,0,1
13,12,113,2,30,31,0.0852,0.1508,0.0129,0.7486,0.3306,0.0936,-1.0315,0.5644,55,0,1
14,13,-311,9,17,17,0.1086,-0.1538,0.8142,0.9726,0.3309,0.093,-1.0224,0.5797,55,0,1
15,14,311,9,18,18,-0.1244,0.3451,0.0378,0.6194,0.3309,0.093,-1.0224,0.5797,55,0,1
16,15,211,9,44,44,-0.0053,-0.1188,0.0424,0.1882,0.3309,0.093,-1.0224,0.5797,55,0,1
17,16,-211,9,-1,-1,0.0619,-0.173,0.5005,0.5511,0.3309,0.093,-1.0224,0.5797,55,0,1
18,17,130,13,45,46,0.1086,-0.1538,0.8142,0.9726,0.3309,0.093,-1.0224,0.5797,55,0,1
19,18,130,14,47,50,-0.1244,0.3451,0.0378,0.6194,0.3309,0.093,-1.0224,0.5797,55,0,1
20,19,10313,10,23,24,-0.5595,0.1892,0.3726,1.3791,0.2056,0.2287,-0.8738,1.3519,55,0,1
21,20,11,10,51,51,0.2178,0.1531,-0.1826,0.3228,0.2056,0.2287,-0.8738,1.3519,55,0,1
22,21,-12,10,-1,-1,-0.0212,-0.0544,0.1787,0.188,0.2056,0.2287,-0.8738,1.3519,55,0,1
23,22,22,10,-1,-1,0.051,0.0491,0.0248,0.075,0.2056,0.2287,-0.8738,1.3519,55,0,1
24,23,323,19,25,26,-0.386,-0.099,0.3437,1.0138,0.2056,0.2287,-0.8738,1.3519,55,0,1
25,24,-211,19,-1,-1,-0.1735,0.2882,0.0289,0.3653,0.2056,0.2287,-0.8738,1.3519,55,0,1
26,25,321,23,52,53,-0.2949,-0.0505,0.5142,0.773,0.2056,0.2287,-0.8738,1.3519,55,0,1
27,26,111,23,27,28,-0.0912,-0.0485,-0.1705,0.2407,0.2056,0.2287,-0.8738,1.3519,55,0,1
28,27,22,26,-1,-1,-0.0109,-0.0775,-0.1146,0.1387,0.2056,0.2287,-0.8738,1.3519,55,0,1
29,28,22,26,-1,-1,-0.0802,0.0289,-0.0559,0.102,0.2056,0.2287,-0.8738,1.3519,55,0,1
30,29,310,11,54,55,-0.0436,-0.278,0.2599,0.628,0.3306,0.0936,-1.0315,0.5644,55,0,1
31,30,211,12,56,57,0.2278,0.3669,-0.0052,0.4539,0.3306,0.0936,-1.0315,0.5644,55,0,1
32,31,-211,12,-1,-1,-0.1426,-0.2161,0.0181,0.2947,0.3306,0.0936,-1.0315,0.5644,55,0,1
33,0,300553,-1,1,2,0.1759,0,4.4934,11.4926,0.2974,0.0747,-6.1517,-1.0177,55,0,2
34,1,521,0,3,4,0.363,-0.1381,2.2751,5.7616,0.2974,0.0747,-6.1517,-1.0177,55,0,2
35,2,-521,0,9,12,-0.1872,0.1381,2.2184,5.731,0.2974,0.0747,-6.1517,-1.0177,55,0,2
36,3,333,1,5,6,1.0962,-2.1831,1.583,3.086,0.3279,0.0631,-5.9607,-0.5341,55,0,2
37,4,10321,1,7,8,-0.7331,2.045,0.6921,2.6756,0.3279,0.0631,-5.9607,-0.5341,55,0,2
38,5,321,3,22,25,0.7276,-1.3811,1.0063,1.9218,0.3279,0.0631,-5.9607,-0.5341,55,0,2
39,6,-321,3,26,29,0.3686,-0.802,0.5767,1.1642,0.3279,0.0631,-5.9607,-0.5341,55,0,2
40,7,310,4,30,31,-0.2739,0.1407,-0.0229,0.5857,0.3279,0.0631,-5.9607,-0.5341,55,0,2
41,8,211,4,32,37,-0.4592,1.9043,0.715,2.0899,0.3279,0.0631,-5.9607,-0.5341,55,0,2
42,9,421,2,13,14,-0.5128,1.6559,1.1305,2.7858,0.2829,0.0853,-5.9801,-0.5744,55,0,2
43,10,211,2,38,38,-0.1573,-0.7137,-0.4437,0.8663,0.2829,0.0853,-5.9801,-0.5744,55,0,2
44,11,-211,2,39,41,-0.1782,-0.067,0.8158,0.8492,0.2829,0.0853,-5.9801,-0.5744,55,0,2
45,12,-211,2,42,47,0.661,-0.7371,0.7158,1.2297,0.2829,0.0853,-5.9801,-0.5744,55,0,2
46,13,-313,9,15,16,-0.2057,1.8221,1.2164,2.4017,0.1379,0.5535,-5.6605,0.2132,55,0,2
47,14,111,9,20,21,-0.3071,-0.1662,-0.0859,0.3841,0.1379,0.5535,-5.6605,0.2132,55,0,2
48,15,-311,13,17,17,-0.3644,1.7396,1.0605,2.1287,0.1379,0.5535,-5.6605,0.2132,55,0,2
49,16,111,13,18,19,0.1587,0.0826,0.1559,0.273,0.1379,0.5535,-5.6605,0.2132,55,0,2
50,17,310,15,48,49,-0.3644,1.7396,1.0605,2.1287,0.1379,0.5535,-5.6605,0.2132,55,0,2
51,18,22,16,50,56,0.1803,0.0544,0.1255,0.2263,0.1379,0.5535,-5.6605,0.2132,55,0,2
52,19,22,16,-1,-1,-0.0216,0.0282,0.0304,0.0467,0.1379,0.5535,-5.6605,0.2132,55,0,2
53,20,22,14,-1,-1,-0.1381,-0.051,-0.1017,0.179,0.1379,0.5535,-5.6605,0.2132,55,0,2
54,21,22,14,-1,-1,-0.1689,-0.1153,0.0158,0.2051,0.1379,0.5535,-5.6605,0.2132,55,0,2
55,0,300553,-1,1,2,0.1759,0,4.4923,11.5014,0.3938,0.0672,-0.7697,-0.12,55,0,3
56,1,521,0,3,4,-0.08,-0.3373,2.3362,5.7833,0.3938,0.0672,-0.7697,-0.12,55,0,3
57,2,-521,0,9,11,0.256,0.3373,2.1561,5.7181,0.3938,0.0672,-0.7697,-0.12,55,0,3
58,3,333,1,5,6,0.6508,-2.4389,1.5011,3.1094,0.3913,0.0569,-0.6985,0.0564,55,0,3
59,4,10321,1,7,8,-0.7309,2.1017,0.8351,2.6739,0.3913,0.0569,-0.6985,0.0564,55,0,3
60,5,321,3,21,23,0.4725,-1.33,0.7842,1.6885,0.3913,0.0569,-0.6985,0.0564,55,0,3
61,6,-321,3,24,24,0.1783,-1.1089,0.7169,1.4209,0.3913,0.0569,-0.6985,0.0564,55,0,3
62,7,310,4,25,26,-0.457,0.6029,0.6873,1.1369,0.3913,0.0569,-0.6985,0.0564,55,0,3
63,8,211,4,27,28,-0.2738,1.4987,0.1478,1.537,0.3913,0.0569,-0.6985,0.0564,55,0,3
64,9,10421,2,12,13,-0.3743,-1.0124,0.4668,2.5182,0.4426,0.1314,-0.3589,0.9695,55,0,3
65,10,11,2,-1,-1,-0.8228,0.6503,0.3562,1.1076,0.4426,0.1314,-0.3589,0.9695,55,0,3
66,11,-12,2,-1,-1,1.4531,0.6993,1.3331,2.0923,0.4426,0.1314,-0.3589,0.9695,55,0,3
67,12,421,9,14,16,-0.595,-0.8051,0.5272,2.1813,0.4426,0.1314,-0.3589,0.9695,55,0,3
68,13,111,9,19,20,0.2207,-0.2072,-0.0604,0.3369,0.4426,0.1314,-0.3589,0.9695,55,0,3
69,14,-313,12,17,18,-0.872,-0.6035,0.2553,1.4132,0.2586,-0.1176,-0.1959,1.644,55,0,3
70,15,211,12,29,29,0.0515,0.1476,-0.0602,0.218,0.2586,-0.1176,-0.1959,1.644,55,0,3
71,16,-211,12,-1,-1,0.2255,-0.3492,0.3321,0.5501,0.2586,-0.1176,-0.1959,1.644,55,0,3
72,17,-321,14,30,34,-0.4019,-0.5092,0.3786,0.8988,0.2586,-0.1176,-0.1959,1.644,55,0,3
73,18,211,14,35,35,-0.4701,-0.0944,-0.1233,0.5144,0.2586,-0.1176,-0.1959,1.644,55,0,3
74,19,22,13,-1,-1,0.1501,-0.09,-0.0902,0.1968,0.4426,0.1314,-0.3589,0.9695,55,0,3
75,20,22,13,-1,-1,0.0707,-0.1173,0.0298,0.1401,0.4426,0.1314,-0.3589,0.9695,55,0,3
76,0,300553,-1,1,2,0.1759,0,4.4954,11.4951,0.439,0.0686,-1.1547,-0.1841,55,0,4
77,1,521,0,3,4,0.2065,-0.0871,2.5631,5.8727,0.439,0.0686,-1.1547,-0.1841,55,0,4
78,2,-521,0,9,11,-0.0306,0.0871,1.9323,5.6224,0.439,0.0686,-1.1547,-0.1841,55,0,4
79,3,333,1,5,6,-2.1712,0.025,0.5321,2.4585,0.4516,0.0633,-0.9974,0.1764,55,0,4
80,4,10321,1,7,8,2.3777,-0.1121,2.031,3.4142,0.4516,0.0633,-0.9974,0.1764,55,0,4
81,5,321,3,21,25,-1.3212,0.066,0.2395,1.4322,0.4516,0.0633,-0.9974,0.1764,55,0,4
82,6,-321,3,26,26,-0.85,-0.041,0.2926,1.0264,0.4516,0.0633,-0.9974,0.1764,55,0,4
83,7,310,4,27,28,1.8143,-0.0985,2.1096,2.8283,0.4516,0.0633,-0.9974,0.1764,55,0,4
84,8,211,4,29,30,0.5634,-0.0136,-0.0786,0.5859,0.4516,0.0633,-0.9974,0.1764,55,0,4
85,9,423,2,12,13,-0.314,-0.7307,0.1169,2.1619,0.4324,0.0873,-0.7414,1.0186,55,0,4
86,10,13,2,31,31,-0.4921,-0.8518,1.1154,1.491,0.4324,0.0873,-0.7414,1.0186,55,0,4
87,11,-14,2,-1,-1,0.7755,1.6695,0.7,1.9694,0.4324,0.0873,-0.7414,1.0186,55,0,4
88,12,421,9,14,15,-0.3103,-0.6802,0.1477,2.0145,0.4324,0.0873,-0.7414,1.0186,55,0,4
89,13,111,9,19,20,-0.0037,-0.0504,-0.0308,0.1474,0.4324,0.0873,-0.7414,1.0186,55,0,4
90,14,-311,12,16,16,-0.6102,-1.0401,0.5167,1.4031,0.4283,0.0782,-0.7394,1.0454,55,0,4
91,15,111,12,17,18,0.2999,0.3599,-0.369,0.6114,0.4283,0.0782,-0.7394,1.0454,55,0,4
92,16,130,14,32,33,-0.6102,-1.0401,0.5167,1.4031,0.4283,0.0782,-0.7394,1.0454,55,0,4
93,17,22,15,34,35,0.2843,0.3087,-0.2704,0.4993,0.4283,0.0782,-0.7394,1.0454,55,0,4
94,18,22,15,-1,-1,0.0156,0.0512,-0.0986,0.1122,0.4283,0.0782,-0.7394,1.0454,55,0,4
95,19,22,13,-1,-1,-0.0341,-0.0229,-0.076,0.0864,0.4324,0.0873,-0.7414,1.0186,55,0,4
96,20,22,13,-1,-1,0.0304,-0.0275,0.0452,0.061,0.4324,0.0873,-0.7414,1.0186,55,0,4
97,0,300553,-1,1,2,0.1757,0,4.4905,11.4858,0.3941,0.0653,-4.2984,-0.7085,55,0,5
98,1,521,0,3,4,0.2011,-0.2246,2.2481,5.7457,0.3941,0.0653,-4.2984,-0.7085,55,0,5
99,2,-521,0,16,17,-0.0254,0.2246,2.2425,5.7401,0.3941,0.0653,-4.2984,-0.7085,55,0,5
100,3,10441,1,5,6,-0.1732,-0.0078,0.0225,3.4254,0.4016,0.0569,-4.214,-0.4928,55,0,5
101,4,321,1,22,24,0.3744,-0.2169,2.2256,2.3204,0.4016,0.0569,-4.214,-0.4928,55,0,5
102,5,311,3,7,7,-0.72,0.0057,1.2461,1.5228,0.4016,0.0569,-4.214,-0.4928,55,0,5
103,6,-315,3,8,10,0.5468,-0.0134,-1.2236,1.9026,0.4016,0.0569,-4.214,-0.4928,55,0,5
104,7,130,5,25,29,-0.72,0.0057,1.2461,1.5228,0.4016,0.0569,-4.214,-0.4928,55,0,5
105,8,-323,6,11,12,0.2517,0.0378,-0.8928,1.2137,0.4016,0.0569,-4.214,-0.4928,55,0,5
106,9,211,6,30,31,0.2059,0.0365,-0.416,0.4861,0.4016,0.0569,-4.214,-0.4928,55,0,5
107,10,111,6,14,15,0.0892,-0.0878,0.0852,0.2028,0.4016,0.0569,-4.214,-0.4928,55,0,5
108,11,-311,8,13,13,0.3728,0.012,-0.7721,0.9915,0.4016,0.0569,-4.214,-0.4928,55,0,5
109,12,-211,8,32,32,-0.1211,0.0258,-0.1207,0.2222,0.4016,0.0569,-4.214,-0.4928,55,0,5
110,13,310,11,33,34,0.3728,0.012,-0.7721,0.9915,0.4016,0.0569,-4.214,-0.4928,55,0,5
111,14,22,10,-1,-1,0.0179,-0.0682,0.1048,0.1263,0.4016,0.0569,-4.214,-0.4928,55,0,5
112,15,22,10,-1,-1,0.0713,-0.0196,-0.0196,0.0765,0.4016,0.0569,-4.214,-0.4928,55,0,5
113,16,333,2,18,19,1.1349,1.9379,2.0471,3.2053,0.3933,0.072,-4.2323,-0.5393,55,0,5
114,17,-10321,2,20,21,-1.1603,-1.7133,0.1954,2.5348,0.3933,0.072,-4.2323,-0.5393,55,0,5
115,18,321,16,35,36,0.7242,1.1182,1.2749,1.9089,0.3933,0.072,-4.2323,-0.5393,55,0,5
116,19,-321,16,37,40,0.4108,0.8197,0.7721,1.2963,0.3933,0.072,-4.2323,-0.5393,55,0,5
117,20,310,17,41,42,-1.1316,-1.9043,0.0845,2.272,0.3933,0.072,-4.2323,-0.5393,55,0,5
118,21,-211,17,-1,-1,-0.0287,0.1911,0.1109,0.2629,0.3933,0.072,-4.2323,-0.5393,55,0,5
119,0,300553,-1,1,2,0.1758,0,4.4894,11.4906,0.5598,0.072,3.7395,0.6323,55,0,6
120,1,521,0,3,4,-0.2166,-0.004,2.2705,5.7507,0.5598,0.072,3.7395,0.6323,55,0,6
121,2,-521,0,9,11,0.3924,0.004,2.2189,5.7399,0.5598,0.072,3.7395,0.6323,55,0,6
122,3,333,1,5,6,-2.4189,-0.1434,1.2594,2.909,0.5563,0.072,3.7764,0.7259,55,0,6
123,4,10321,1,7,8,2.2023,0.1394,1.0111,2.8417,0.5563,0.072,3.7764,0.7259,55,0,6
124,5,321,3,22,22,-1.0076,-0.0782,0.5014,1.2314,0.5563,0.072,3.7764,0.7259,55,0,6
125,6,-321,3,23,24,-1.4114,-0.0652,0.758,1.6776,0.5563,0.072,3.7764,0.7259,55,0,6
126,7,310,4,25,26,1.2865,-0.082,1.2461,1.8607,0.5563,0.072,3.7764,0.7259,55,0,6
127,8,211,4,27,28,0.9158,0.2214,-0.2349,0.981,0.5563,0.072,3.7764,0.7259,55,0,6
128,9,423,2,12,13,0.9029,-1.0178,-0.2434,2.4369,0.6295,0.0727,4.1338,1.6522,55,0,6
129,10,-2212,2,29,37,-0.3203,0.5237,1.2541,1.6822,0.6295,0.0727,4.1338,1.6522,55,0,6
130,11,2112,2,-1,-1,-0.1902,0.4982,1.2082,1.6208,0.6295,0.0727,4.1338,1.6522,55,0,6
131,12,421,9,14,15,0.8413,-0.9827,-0.2002,2.2784,0.6295,0.0727,4.1338,1.6522,55,0,6
132,13,111,9,20,21,0.0616,-0.0352,-0.0432,0.1585,0.6295,0.0727,4.1338,1.6522,55,0,6
133,14,213,12,16,17,-0.0397,0.0077,0.492,0.7036,0.6537,0.0445,4.128,1.7177,55,0,6
134,15,-321,12,38,38,0.881,-0.9904,-0.6922,1.5748,0.6537,0.0445,4.128,1.7177,55,0,6
135,16,211,14,39,43,0.0394,-0.1966,0.2125,0.3238,0.6537,0.0445,4.128,1.7177,55,0,6
136,17,111,14,18,19,-0.0791,0.2043,0.2795,0.3799,0.6537,0.0445,4.128,1.7177,55,0,6
137,18,22,17,-1,-1,-0.0436,0.1138,0.2503,0.2784,0.6537,0.0445,4.128,1.7177,55,0,6
138,19,22,17,-1,-1,-0.0355,0.0904,0.0291,0.1014,0.6537,0.0445,4.128,1.7177,55,0,6
139,20,22,13,44,45,0.1035,-0.0384,-0.0343,0.1156,0.6295,0.0727,4.1338,1.6522,55,0,6
140,21,22,13,-1,-1,-0.0419,0.0032,-0.0088,0.0429,0.6295,0.0727,4.1338,1.6522,55,0,6
141,0,300553,-1,1,2,0.1758,0,4.4946,11.4869,0.5212,0.06,0.4383,0.0817,55,0,7
142,1,521,0,3,4,-0.0629,-0.1716,2.3431,5.7786,0.5212,0.06,0.4383,0.0817,55,0,7
143,2,-521,0,9,11,0.2387,0.1716,2.1516,5.7083,0.5212,0.06,0.4383,0.0817,55,0,7
144,3,333,1,5,6,-2.2644,-0.0821,2.0345,3.2111,0.515,0.0431,0.6686,0.6497,55,0,7
145,4,10321,1,7,8,2.2015,-0.0895,0.3086,2.5675,0.515,0.0431,0.6686,0.6497,55,0,7
146,5,321,3,23,25,-0.9114,-0.0435,0.7416,1.2753,0.515,0.0431,0.6686,0.6497,55,0,7
147,6,-321,3,26,32,-1.353,-0.0386,1.2929,1.9358,0.515,0.0431,0.6686,0.6497,55,0,7
148,7,310,4,33,34,1.7701,-0.515,0.1016,1.9122,0.515,0.0431,0.6686,0.6497,55,0,7
149,8,211,4,35,35,0.4314,0.4255,0.207,0.6554,0.515,0.0431,0.6686,0.6497,55,0,7
150,9,10421,2,12,13,-0.6148,1.5003,1.12,2.9706,0.5216,0.0603,0.442,0.0914,55,0,7
151,10,11,2,36,39,-0.1402,-0.6534,1.3399,1.4973,0.5216,0.0603,0.442,0.0914,55,0,7
152,11,-12,2,-1,-1,0.9937,-0.6752,-0.3084,1.2404,0.5216,0.0603,0.442,0.0914,55,0,7
153,12,411,9,14,16,-0.8053,1.2055,1.0408,2.5847,0.5216,0.0603,0.442,0.0914,55,0,7
154,13,-211,9,40,40,0.1906,0.2948,0.0793,0.386,0.5216,0.0603,0.442,0.0914,55,0,7
155,14,-30313,12,17,18,-0.051,0.5162,0.5541,1.4193,0.3535,0.3118,0.6592,0.6308,55,0,7
156,15,211,12,41,45,-0.7208,0.6377,0.3836,1.0454,0.3535,0.3118,0.6592,0.6308,55,0,7
157,16,22,12,-1,-1,-0.0336,0.0515,0.1031,0.12,0.3535,0.3118,0.6592,0.6308,55,0,7
158,17,-313,14,19,20,-0.0896,0.6124,0.3595,1.1608,0.3535,0.3118,0.6592,0.6308,55,0,7
159,18,111,14,21,22,0.0386,-0.0961,0.1946,0.2585,0.3535,0.3118,0.6592,0.6308,55,0,7
160,19,-321,17,46,47,0.0744,0.1384,0.3757,0.64,0.3535,0.3118,0.6592,0.6308,55,0,7
161,20,211,17,48,49,-0.164,0.4739,-0.0161,0.5208,0.3535,0.3118,0.6592,0.6308,55,0,7
162,21,22,18,50,53,0.013,-0.1249,0.116,0.171,0.3535,0.3118,0.6592,0.6308,55,0,7
163,22,22,18,54,55,0.0257,0.0288,0.0786,0.0875,0.3535,0.3118,0.6592,0.6308,55,0,7
164,0,300553,-1,1,2,0.1759,0,4.5001,11.4895,0.4469,0.0729,-4.7743,-0.7877,55,0,8
165,1,521,0,3,6,-0.1404,-0.082,2.1804,5.714,0.4469,0.0729,-4.7743,-0.7877,55,0,8
166,2,-521,0,22,23,0.3163,0.082,2.3197,5.7755,0.4469,0.0729,-4.7743,-0.7877,55,0,8
167,3,-423,1,7,8,0.0145,0.3385,1.2398,2.3833,0.4399,0.0688,-4.6647,-0.5004,55,0,8
168,4,321,1,28,28,0.1326,0.3585,0.947,1.1343,0.4399,0.0688,-4.6647,-0.5004,55,0,8
169,5,-313,1,14,15,-0.8034,-0.8677,0.3736,1.5357,0.4399,0.0688,-4.6647,-0.5004,55,0,8
170,6,111,1,20,21,0.5159,0.0887,-0.38,0.6608,0.4399,0.0688,-4.6647,-0.5004,55,0,8
171,7,-421,3,9,10,-0.01,0.2101,1.0432,2.1471,0.4399,0.0688,-4.6647,-0.5004,55,0,8
172,8,22,3,-1,-1,0.0245,0.1284,0.1966,0.2361,0.4399,0.0688,-4.6647,-0.5004,55,0,8
173,9,113,7,11,12,-0.0671,-0.5109,0.2709,0.9779,0.4394,0.0775,-4.6217,-0.4118,55,0,8
174,10,311,7,13,13,0.0571,0.7209,0.7724,1.1693,0.4394,0.0775,-4.6217,-0.4118,55,0,8
175,11,211,9,29,29,-0.0388,-0.6055,-0.0391,0.6238,0.4394,0.0775,-4.6217,-0.4118,55,0,8
176,12,-211,9,30,32,-0.0284,0.0946,0.31,0.354,0.4394,0.0775,-4.6217,-0.4118,55,0,8
177,13,310,10,33,34,0.0571,0.7209,0.7724,1.1693,0.4394,0.0775,-4.6217,-0.4118,55,0,8
178,14,-311,5,16,16,-0.3335,-0.4491,0.4713,0.8847,0.4399,0.0688,-4.6647,-0.5004,55,0,8
179,15,111,5,17,19,-0.4699,-0.4187,-0.0976,0.651,0.4399,0.0688,-4.6647,-0.5004,55,0,8
180,16,130,14,35,37,-0.3335,-0.4491,0.4713,0.8847,0.4399,0.0688,-4.6647,-0.5004,55,0,8
181,17,-11,15,-1,-1,-0.0241,-0.0179,0.013,0.0327,0.4399,0.0688,-4.6647,-0.5004,55,0,8
182,18,11,15,38,38,-0.0461,-0.0402,0.0201,0.0644,0.4399,0.0688,-4.6647,-0.5004,55,0,8
183,19,22,15,-1,-1,-0.3997,-0.3605,-0.1307,0.5539,0.4399,0.0688,-4.6647,-0.5004,55,0,8
184,20,22,6,-1,-1,0.5193,0.0734,-0.3734,0.6438,0.4399,0.0688,-4.6647,-0.5004,55,0,8
185,21,22,6,-1,-1,-0.0034,0.0153,-0.0066,0.017,0.4399,0.0688,-4.6647,-0.5004,55,0,8
186,22,333,2,24,25,1.2121,1.2905,3.0384,3.6619,0.4806,0.0816,-4.5273,-0.1727,55,0,8
187,23,-10321,2,26,27,-0.8958,-1.2085,-0.7187,2.1136,0.4806,0.0816,-4.5273,-0.1727,55,0,8
188,24,321,22,39,39,0.4447,0.4661,1.1201,1.3832,0.4806,0.0816,-4.5273,-0.1727,55,0,8
189,25,-321,22,40,44,0.7674,0.8244,1.9184,2.2787,0.4806,0.0816,-4.5273,-0.1727,55,0,8
190,26,310,23,45,46,0.1109,-0.6236,-0.3952,0.8972,0.4806,0.0816,-4.5273,-0.1727,55,0,8
191,27,-211,23,47,49,-1.0067,-0.5849,-0.3234,1.2164,0.4806,0.0816,-4.5273,-0.1727,55,0,8
192,0,300553,-1,1,2,0.1758,0,4.4954,11.4864,0.5416,0.0735,-1.1204,-0.1782,55,0,9
193,1,521,0,3,4,0.3083,-0.0298,2.1662,5.7146,0.5416,0.0735,-1.1204,-0.1782,55,0,9
194,2,-521,0,9,12,-0.1325,0.0298,2.3292,5.7717,0.5416,0.0735,-1.1204,-0.1782,55,0,9
195,3,333,1,5,6,0.2959,2.1331,-0.0465,2.3839,0.5455,0.0731,-1.093,-0.106,55,0,9
196,4,10321,1,7,8,0.0124,-2.1629,2.2126,3.3308,0.5455,0.0731,-1.093,-0.106,55,0,9
197,5,321,3,35,37,0.1835,1.0244,0.1004,1.1563,0.5455,0.0731,-1.093,-0.106,55,0,9
198,6,-321,3,38,38,0.1124,1.1086,-0.1468,1.2276,0.5455,0.0731,-1.093,-0.106,55,0,9
199,7,310,4,39,40,-0.3538,-0.8311,1.3406,1.6914,0.5455,0.0731,-1.093,-0.106,55,0,9
200,8,211,4,41,44,0.3662,-1.3317,0.872,1.6394,0.5455,0.0731,-1.093,-0.106,55,0,9
201,9,423,2,13,14,-0.0639,-0.319,-0.7267,2.1591,0.5317,0.0757,-0.9457,0.2546,55,0,9
202,10,-211,2,45,45,0.0514,0.052,0.1467,0.2153,0.5317,0.0757,-0.9457,0.2546,55,0,9
203,11,223,2,28,30,-0.2297,0.2687,1.7175,1.9195,0.5317,0.0757,-0.9457,0.2546,55,0,9
204,12,-313,2,33,34,0.1097,0.0281,1.1918,1.4779,0.5317,0.0757,-0.9457,0.2546,55,0,9
205,13,421,9,15,19,-0.0608,-0.292,-0.6299,1.9908,0.5317,0.0757,-0.9457,0.2546,55,0,9
206,14,111,9,26,27,-0.0031,-0.0269,-0.0968,0.1683,0.5317,0.0757,-0.9457,0.2546,55,0,9
207,15,-321,13,46,46,0.3109,0.2808,-0.1014,0.6554,0.5279,0.0573,-0.9854,0.3801,55,0,9
208,16,211,13,47,47,-0.1111,-0.1342,-0.1591,0.2741,0.5279,0.0573,-0.9854,0.3801,55,0,9
209,17,111,13,20,21,0.1073,0.0579,-0.2923,0.3443,0.5279,0.0573,-0.9854,0.3801,55,0,9
210,18,111,13,22,23,-0.1685,-0.149,-0.1266,0.2913,0.5279,0.0573,-0.9854,0.3801,55,0,9
211,19,111,13,24,25,-0.1994,-0.3475,0.0497,0.4256,0.5279,0.0573,-0.9854,0.3801,55,0,9
212,20,22,17,-1,-1,0.0415,-0.0438,-0.1086,0.1242,0.5279,0.0573,-0.9854,0.3801,55,0,9
213,21,22,17,-1,-1,0.0658,0.1017,-0.1838,0.2201,0.5279,0.0573,-0.9854,0.3801,55,0,9
214,22,22,18,-1,-1,-0.1212,-0.0828,-0.0074,0.147,0.5279,0.0573,-0.9854,0.3801,55,0,9
215,23,22,18,-1,-1,-0.0474,-0.0662,-0.1192,0.1444,0.5279,0.0573,-0.9854,0.3801,55,0,9
216,24,22,19,-1,-1,0.0086,-0.0426,-0.0235,0.0494,0.5279,0.0573,-0.9854,0.3801,55,0,9
217,25,22,19,-1,-1,-0.208,-0.3048,0.0732,0.3762,0.5279,0.0573,-0.9854,0.3801,55,0,9
218,26,22,14,-1,-1,0.0011,0.0027,-0.1263,0.1263,0.5317,0.0757,-0.9457,0.2546,55,0,9
219,27,22,14,-1,-1,-0.0042,-0.0296,0.0295,0.042,0.5317,0.0757,-0.9457,0.2546,55,0,9
220,28,-211,11,48,49,0.2111,0.1328,0.5832,0.6494,0.5317,0.0757,-0.9457,0.2546,55,0,9
221,29,211,11,50,51,-0.1754,0.0627,0.2904,0.3721,0.5317,0.0757,-0.9457,0.2546,55,0,9
222,30,111,11,31,32,-0.2654,0.0732,0.844,0.8979,0.5317,0.0757,-0.9457,0.2546,55,0,9
223,31,22,30,52,53,0.0144,0.0012,0.0776,0.0789,0.5317,0.0757,-0.9457,0.2546,55,0,9
224,32,22,30,-1,-1,-0.2798,0.0721,0.7664,0.819,0.5317,0.0757,-0.9457,0.2546,55,0,9
225,33,-321,12,54,54,-0.0688,0.2486,0.7886,0.9654,0.5317,0.0757,-0.9457,0.2546,55,0,9
226,34,211,12,55,59,0.1785,-0.2205,0.4032,0.5124,0.5317,0.0757,-0.9457,0.2546,55,0,9
227,0,300553,-1,1,2,0.1757,0,4.4837,11.4896,0.5318,0.0712,0.6455,0.1163,55,0,10
228,1,521,0,3,4,-0.2159,0.0507,2.1601,5.7083,0.5318,0.0712,0.6455,0.1163,55,0,10
229,2,-521,0,29,30,0.3916,-0.0507,2.3236,5.7814,0.5318,0.0712,0.6455,0.1163,55,0,10
230,3,20433,1,5,6,-0.7302,-1.132,1.6979,3.2782,0.5067,0.0771,0.8969,0.7805,55,0,10
231,4,-423,1,19,20,0.5143,1.1827,0.4623,2.43,0.5067,0.0771,0.8969,0.7805,55,0,10
